grid_ids,hru_id_nat,w
353234,5308,0.056748352245255373
353233,5308,0.0010494155599419226
356004,5308,0.04788367241720088
354618,5308,0.1427160169707987
356006,5308,0.24061368585025547
356007,5308,0.02648421387896378
356005,5308,0.06959016170218452
354619,5308,0.2645129601354205
354621,5308,0.0626988162245147
354620,5308,0.08770237654909246
353233,5309,1.0
353234,5310,0.687238173979118
353233,5310,0.2861285179306951
354621,5310,0.024828816373020996
354620,5310,0.0018042210035710952
353232,5311,0.02957312813687488
353230,5311,0.026381736088906402
351846,5311,0.04836062506377753
353233,5311,8.572262046613168e-05
351847,5311,0.0183311837598592
357390,5311,0.03193990838557281
357389,5311,0.10575520521245023
357388,5311,0.10188773842149305
357387,5311,0.03281889054415131
356004,5311,0.10575520521245023
356002,5311,0.10575520521245023
356001,5311,0.0655039392181667
356003,5311,0.09124349551886882
354617,5311,0.0030961191156576827
354616,5311,0.004161423538728198
354615,5311,0.06730249533237875
354618,5311,0.10534453785843917
353229,5311,0.04361693757791078
353231,5311,0.001490216965505125
354619,5311,0.011595951739553313
353232,5312,0.0021871708013234785
353230,5312,0.024899755122632743
351845,5312,0.22678138748662588
351846,5312,0.04699853634752522
351844,5312,0.12482681399959782
351843,5312,0.24111281907557142
353233,5312,0.10210928278736905
351847,5312,0.1782425848385481
353229,5312,0.010642572953758988
353231,5312,0.04219859325937159
350454,5313,0.2724154524000264
350453,5313,0.7275842699794266
351839,5314,0.0009543968685533647
351840,5314,0.18340708668838374
350454,5314,0.10688187838697728
350453,5314,0.7087562864106907
349067,5315,0.29177434651178497
347681,5315,0.5169885983433581
347682,5315,0.19123676390984962
347681,5316,0.8909184630117798
347682,5316,0.10908135887863094
353228,5317,0.024129737248950577
353230,5317,0.005390528591461109
353227,5317,0.08142079874018303
351845,5317,0.05594645219169351
351846,5317,0.11864468791601934
351841,5317,0.06020123971646549
351842,5317,0.051350832615357764
351844,5317,0.00035534759035113153
351843,5317,0.11536623678467843
350460,5317,0.12165883023569862
350457,5317,0.024877848893798123
350459,5317,0.1024866506693144
350458,5317,0.10455482267150615
349073,5317,0.024798992408979897
349072,5317,0.07808873532944288
353234,5317,0.015477505245898743
353233,5317,0.0031994610581407806
351847,5317,0.0076403895289385805
353229,5317,0.0034417877650226936
354621,5317,0.0007474552083801276
354620,5317,0.00022135444655074584
353227,5318,0.06916200127954755
351841,5318,0.05993166910688873
351842,5318,0.005289723580907723
351843,5318,0.21032728963362188
351840,5318,0.1502456318236412
350457,5318,0.12198473586068424
350454,5318,0.18290885408865354
350455,5318,0.007510438853585458
350456,5318,0.1061008213286582
349071,5318,0.08487378996928778
349072,5318,0.0016647548992900663
350457,5319,0.01745758354304827
350458,5319,0.2557063687630983
349073,5319,0.01483357223233534
349071,5319,0.6297660697040494
349072,5319,0.08223609774414047
350457,5320,0.004767012157783822
350454,5320,0.002979974927139788
350455,5320,0.07393681503136079
350453,5320,0.02610347319317794
350456,5320,0.08238480020990167
349071,5320,0.11781041211147708
349072,5320,0.04642307320150583
349068,5320,0.25517148210326357
349069,5320,0.0989286386674319
349067,5320,0.005697562473176596
349070,5320,0.10532835556179104
347684,5320,0.1643977607620415
347685,5320,0.004372492798076438
347686,5320,0.011697767654367182
346299,5321,0.001647193658760643
349073,5321,0.05123386632034693
349072,5321,0.16059052619872494
347687,5321,0.5798499291046557
347685,5321,0.025716085894049234
347686,5321,0.06001874064507725
346300,5321,0.12094327033794443
346299,5322,0.0005246805183756041
344913,5322,0.056398444484963485
