4113,82923
4201,82970
4230,82982
4231,82983
8564,104387
94909,96094
94910,96095
94914,96105
94915,96105
94919,96111
94921,96119
94922,96120
94923,96122
94924,96124
94925,96124
94926,96124
94927,96130
94928,96134
94929,96135
94931,96140
94932,96141
94933,96144
94934,96149
94936,96159
94937,96159
94938,96159
94939,96164
94940,96165
94943,96167
94944,96168
94945,96171
94946,96172
94947,96173
94948,96174
94949,96175
94950,96180
94951,96181
94952,96187
94953,96190
94954,96201
94955,96204
94956,96205
94957,96209
94958,96215
94959,96219
94960,96222
94961,96234
94962,96244
94963,96248
94964,96254
94965,96255
94966,96260
96118,101849
96125,101855
96126,101856
96132,101862
96133,101863
96140,101869
96146,101876
96147,101877
96148,101878
96151,101881
96153,101885
96156,101888
96159,101892
96161,101894
96162,101894
96163,101894
96164,101896
96165,101897
96166,101898
96167,101898
96168,101899
96169,101900
96170,101901
96171,101902
96172,101903
96173,101904
96174,101905
96175,101906
96176,101907
96177,101908
96178,101909
96179,101910
96180,101911
96181,101914
96182,101915
96183,101916
96184,101917
96185,101918
96186,101919
96187,101920
96188,101921
96189,101922
96190,101923
96191,101924
96192,101925
96193,101926
96194,101927
96195,101928
96196,101930
96197,101931
96198,101932
96199,101933
96200,101934
96201,101936
96202,101937
96203,101938
96204,101939
96205,101940
96206,101941
96207,101942
96208,101943
96209,101944
96210,101945
96211,101946
96212,101947
96213,101948
96214,101949
96215,101950
96216,101951
96217,101952
96218,101956
96219,101957
96220,101957
96221,101958
96222,101959
96223,101960
96224,101961
96225,101963
96226,101964
96227,101965
96228,101966
96229,101966
96230,101967
96231,101969
96232,101970
96233,101971
96234,101972
96235,101973
96236,101974
96237,101975
96238,101976
96239,101977
96240,101979
96241,101984
96242,101985
96243,101987
96244,101989
96245,101990
96246,101992
96247,101993
96248,101994
96249,101995
96250,101996
96251,101997
96252,101998
96253,101999
96254,102000
96255,102001
96256,102002
96257,102002
96258,102003
96259,102004
96260,102005
96261,102006
96262,102007
96263,102009
96264,102010
96265,102011
96266,102012
96267,102013
96268,102014
96269,102015
96270,102016
96271,102017
96272,102018
96273,102019
96274,102020
96275,102021
96276,102022
96277,102023
96278,102024
96279,102025
96280,102027
96281,102028
96282,102029
96283,102031
96284,102032
96285,102033
96286,102034
96287,102036
96288,102037
96289,102038
96290,102038
96291,102038
96292,102039
96293,102040
96294,102041
96295,102042
96296,102043
96297,102044
96298,102045
96299,102047
96300,102048
96301,102049
96302,102050
96303,102051
96304,102052
96305,102053
96306,102054
96307,102057
96308,102058
96309,102059
96310,102061
96311,102062
96312,102063
96313,102064
96314,102065
96315,102066
96316,102067
96317,102068
96318,102068
96319,102069
96320,102070
96321,102071
96322,102072
96323,102073
96324,102074
96325,102075
96326,102076
96327,102077
96328,102078
96329,102079
96330,102080
96331,102081
96332,102081
96333,102082
96334,102083
96335,102084
96336,102085
96337,102086
96338,102087
96339,102088
96340,102089
96341,102090
96342,102091
96343,102092
96344,102093
96345,102094
96346,102095
96347,102096
96348,102099
96349,102100
96350,102101
96351,102102
96352,102104
96353,102105
96354,102106
96355,102109
96356,102110
96357,102111
96358,102112
96359,102113
96360,102114
96361,102115
96362,102116
96363,102117
96364,102118
96365,102119
96366,102120
96367,102121
96368,102122
96369,102123
96370,102124
96371,102125
96372,102126
96373,102127
96374,102128
96375,102129
96376,102131
96377,102132
96378,102133
96379,102133
96380,102134
96381,102135
96382,102136
96383,102138
96384,102139
96385,102140
96386,102141
96387,102142
96388,102144
96389,102145
96390,102146
96391,102147
96392,102148
96393,102149
96394,102150
96395,102151
96396,102152
96397,102153
96398,102154
96399,102156
96400,102157
96401,102158
96402,102159
96403,102160
96404,102161
96405,102162
96406,102163
96407,102164
96408,102165
96409,102166
96410,102170
96411,102171
96412,102172
96413,102173
96414,102175
96415,102176
96416,102177
96417,102178
96418,102179
96419,102180
96420,102181
96421,102182
96422,102183
96423,102185
96424,102186
96425,102188
96426,102189
96427,102190
96428,102191
96429,102192
96430,102192
96431,102194
96432,102195
96433,102196
96434,102197
96435,102198
96436,102200
96437,102201
96438,102202
96439,102203
96440,102204
96441,102205
96442,102206
96443,102207
96444,102208
96445,102209
96446,102210
96447,102211
96448,102212
96449,102213
96450,102214
96451,102215
96452,102216
96453,102217
96454,102217
96455,102218
96456,102219
96457,102220
96458,102221
96459,102222
96460,102223
96461,102224
96462,102225
96463,102226
96464,102227
96465,102228
96466,102229
96467,102230
96468,102231
96469,102232
96470,102233
96471,102234
96472,102235
96473,102236
96474,102237
96475,102238
96476,102239
96477,102240
96478,102241
96479,102242
96480,102243
96481,102244
96482,102245
96483,102246
96484,102247
96485,102248
96486,102249
96487,102250
96488,102251
96489,102252
96490,102253
96491,102254
96492,102255
96493,102256
96494,102257
96495,102258
96496,102259
96497,102260
96498,102261
96499,102262
96500,102263
96501,102263
96502,102264
96503,102265
96504,102266
96505,102267
96506,102268
96507,102269
96508,102270
96509,102271
96510,102272
96511,102273
96512,102274
96513,102275
96514,102276
96515,102277
96516,102279
96517,102280
96518,102282
96519,102283
96520,102284
96521,102285
96522,102286
96523,102287
96524,102288
96525,102289
96526,102290
96527,102291
96528,102293
96529,102294
96530,102294
96531,102294
96532,102294
96533,102294
96534,102294
96535,102295
96536,102296
96537,102297
96538,102298
96539,102299
96540,102300
96541,102301
96542,102302
96543,102303
96544,102304
96545,102305
96546,102307
96547,102308
96548,102309
96649,102481
96655,102487
96658,102490
96659,102491
96660,102492
96661,102493
96662,102494
96663,102495
96668,102499
96671,102501
96672,102502
96673,102503
96674,102504
96677,102507
