,temperature,geometry
647739.0,,"POLYGON ((-104.8708333033333 29.92083333666667, -104.8708333033333 29.96249999666666, -104.9124999633333 29.96249999666666, -104.9124999633333 29.92083333666667, -104.8708333033333 29.92083333666667))"
647738.0,,"POLYGON ((-104.91249997 29.92083333666667, -104.91249997 29.96249999666666, -104.95416663 29.96249999666666, -104.95416663 29.92083333666667, -104.91249997 29.92083333666667))"
647737.0,,"POLYGON ((-104.9541666366667 29.92083333666667, -104.9541666366667 29.96249999666666, -104.9958332966667 29.96249999666666, -104.9958332966667 29.92083333666667, -104.9541666366667 29.92083333666667))"
653285.0,,"POLYGON ((-104.78749997 29.75416667, -104.78749997 29.79583333, -104.82916663 29.79583333, -104.82916663 29.75416667, -104.78749997 29.75416667))"
650512.0,,"POLYGON ((-104.8291666366667 29.83750000333334, -104.8291666366667 29.87916666333333, -104.8708332966667 29.87916666333333, -104.8708332966667 29.83750000333334, -104.8291666366667 29.83750000333334))"
649126.0,,"POLYGON ((-104.8291666366667 29.87916667, -104.8291666366667 29.92083333, -104.8708332966667 29.92083333, -104.8708332966667 29.87916667, -104.8291666366667 29.87916667))"
649127.0,,"POLYGON ((-104.78749997 29.87916667, -104.78749997 29.92083333, -104.82916663 29.92083333, -104.82916663 29.87916667, -104.78749997 29.87916667))"
647740.0,,"POLYGON ((-104.8291666366667 29.92083333666667, -104.8291666366667 29.96249999666666, -104.8708332966667 29.96249999666666, -104.8708332966667 29.92083333666667, -104.8291666366667 29.92083333666667))"
647741.0,,"POLYGON ((-104.78749997 29.92083333666667, -104.78749997 29.96249999666666, -104.82916663 29.96249999666666, -104.82916663 29.92083333666667, -104.78749997 29.92083333666667))"
646354.0,,"POLYGON ((-104.8291666366667 29.96250000333334, -104.8291666366667 30.00416666333333, -104.8708332966667 30.00416666333333, -104.8708332966667 29.96250000333334, -104.8291666366667 29.96250000333334))"
646355.0,,"POLYGON ((-104.78749997 29.96250000333334, -104.78749997 30.00416666333333, -104.82916663 30.00416666333333, -104.82916663 29.96250000333334, -104.78749997 29.96250000333334))"
660206.0,,"POLYGON ((-105.16249997 29.54583333666667, -105.16249997 29.58749999666666, -105.20416663 29.58749999666666, -105.20416663 29.54583333666667, -105.16249997 29.54583333666667))"
660213.0,,"POLYGON ((-104.8708333033333 29.54583333666667, -104.8708333033333 29.58749999666666, -104.9124999633333 29.58749999666666, -104.9124999633333 29.54583333666667, -104.8708333033333 29.54583333666667))"
660211.0,,"POLYGON ((-104.9541666366667 29.54583333666667, -104.9541666366667 29.58749999666666, -104.9958332966667 29.58749999666666, -104.9958332966667 29.54583333666667, -104.9541666366667 29.54583333666667))"
660205.0,,"POLYGON ((-105.2041666366667 29.54583333666667, -105.2041666366667 29.58749999666666, -105.2458332966667 29.58749999666666, -105.2458332966667 29.54583333666667, -105.2041666366667 29.54583333666667))"
